year,destination_office,origin,indicator,Total Filings
2004,Algeria,World,PA3,322
2004,Armenia,World,PA3,133
2004,Australia,World,PA3,96673
2004,Austria,World,PA3,10500
2004,Barbados,World,PA3,42
2004,Belarus,World,PA3,3112
2004,Bosnia and Herzegovina,World,PA3,76
2004,Bulgaria,World,PA3,2018
2004,Canada,World,PA3,137634
2004,"China, Hong Kong SAR",World,PA3,118141
2004,"China, Macao SAR",World,PA3,9
2004,Croatia,World,PA3,1076
2004,Cuba,World,PA3,110
2004,Cyprus,World,PA3,2257
2004,Czech Republic,World,PA3,9807
2004,Denmark,World,PA3,58498
2004,Ecuador,World,PA3,44
2004,Egypt,World,PA3,1119
2004,Estonia,World,PA3,1200
2004,Finland,World,PA3,37408
2004,France,World,PA3,388379
2004,Georgia,World,PA3,950
2004,Germany,World,PA3,411671
2004,Greece,World,PA3,31254
2004,Hungary,World,PA3,9513
2004,Iceland,World,PA3,306
2004,India,World,PA3,6857
2004,Japan,World,PA3,1104640
2004,Kazakhstan,World,PA3,343
2004,Kyrgyzstan,World,PA3,343
2004,Latvia,World,PA3,3353
2004,Madagascar,World,PA3,217
2004,Malta,World,PA3,1254
2004,Mexico,World,PA3,38372
2004,Monaco,World,PA3,33019
2004,Mongolia,World,PA3,498
2004,Netherlands (Kingdom of the),World,PA3,14078
2004,New Zealand,World,PA3,34524
2004,North Macedonia,World,PA3,417
2004,Peru,World,PA3,2296
2004,Poland,World,PA3,13828
2004,Portugal,World,PA3,36793
2004,Republic of Korea,World,PA3,331437
2004,Republic of Moldova,World,PA3,1019
2004,Russian Federation,World,PA3,108721
2004,Singapore,World,PA3,39507
2004,Slovakia,World,PA3,3776
2004,Slovenia,World,PA3,6281
2004,Spain,World,PA3,77711
2004,Sweden,World,PA3,102785
2004,Switzerland,World,PA3,97695
2004,Tajikistan,World,PA3,287
2004,Ukraine,World,PA3,41805
2004,United Kingdom,World,PA3,401483
2004,United States of America,World,PA3,1633355
2004,Uruguay,World,PA3,522
2004,Uzbekistan,World,PA3,985
2004,Zambia,World,PA3,2458
2004,Zimbabwe,World,PA3,155
2005,Algeria,World,PA3,498
2005,Armenia,World,PA3,110
2005,Australia,World,PA3,96403
2005,Austria,World,PA3,95618
2005,Barbados,World,PA3,49
2005,Bosnia and Herzegovina,World,PA3,120
2005,Brazil,World,PA3,32571
2005,Bulgaria,World,PA3,2203
2005,Canada,World,PA3,125110
2005,China,World,PA3,182396
2005,"China, Macao SAR",World,PA3,28
2005,Croatia,World,PA3,1094
2005,Cuba,World,PA3,653
2005,Czech Republic,World,PA3,10165
2005,Denmark,World,PA3,56978
2005,Ecuador,World,PA3,38
2005,Estonia,World,PA3,1395
2005,European Patent Office,World,PA3,244361
2005,Finland,World,PA3,39450
2005,France,World,PA3,343568
2005,Georgia,World,PA3,1040
2005,Germany,World,PA3,434663
2005,Guatemala,World,PA3,1030
2005,Hungary,World,PA3,9125
2005,Iceland,World,PA3,349
2005,India,World,PA3,16419
2005,Jamaica,World,PA3,527
2005,Japan,World,PA3,1123055
2005,Latvia,World,PA3,4012
2005,Lithuania,World,PA3,3835
2005,Luxembourg,World,PA3,513
2005,Madagascar,World,PA3,249
2005,Mexico,World,PA3,48374
2005,Monaco,World,PA3,37483
2005,Mongolia,World,PA3,13663
2005,Netherlands (Kingdom of the),World,PA3,135215
2005,New Zealand,World,PA3,34182
2005,Peru,World,PA3,2252
2005,Poland,World,PA3,14578
2005,Portugal,World,PA3,35871
2005,Republic of Korea,World,PA3,420906
2005,Republic of Moldova,World,PA3,1108
2005,Romania,World,PA3,8627
2005,Russian Federation,World,PA3,123089
2005,Singapore,World,PA3,43024
2005,Slovakia,World,PA3,4033
2005,Slovenia,World,PA3,5201
2005,Spain,World,PA3,39297
2005,Sweden,World,PA3,102741
2005,Switzerland,World,PA3,99531
2005,Ukraine,World,PA3,37336
2005,United States of America,World,PA3,1683968
2005,Uzbekistan,World,PA3,1263
2005,Zambia,World,PA3,2695
2005,Zimbabwe,World,PA3,194
2006,Algeria,World,PA3,669
2006,Armenia,World,PA3,404
2006,Australia,World,PA3,95924
2006,Austria,World,PA3,99746
2006,Barbados,World,PA3,60
2006,Bosnia and Herzegovina,World,PA3,194
2006,Brazil,World,PA3,31221
2006,Bulgaria,World,PA3,3441
2006,Canada,World,PA3,115639
2006,"China, Hong Kong SAR",World,PA3,141766
2006,"China, Macao SAR",World,PA3,82
2006,Croatia,World,PA3,1163
2006,Czech Republic,World,PA3,10298
2006,Denmark,World,PA3,56056
2006,Estonia,World,PA3,2070
2006,European Patent Office,World,PA3,268384
2006,Finland,World,PA3,43345
2006,France,World,PA3,377761
2006,Georgia,World,PA3,2606
2006,Germany,World,PA3,460658
2006,Greece,World,PA3,33732
2006,Hungary,World,PA3,8408
2006,Iceland,World,PA3,506
2006,India,World,PA3,17066
2006,Israel,World,PA3,6941
2006,Japan,World,PA3,1146871
2006,Kenya,World,PA3,120
2006,Latvia,World,PA3,4168
2006,Lithuania,World,PA3,3427
2006,Luxembourg,World,PA3,386
2006,Madagascar,World,PA3,255
2006,Malta,World,PA3,2357
2006,Mexico,World,PA3,54722
2006,Monaco,World,PA3,46272
2006,Mongolia,World,PA3,778
2006,Netherlands (Kingdom of the),World,PA3,139303
2006,New Zealand,World,PA3,34291
2006,Peru,World,PA3,2167
2006,Portugal,World,PA3,36133
2006,Republic of Korea,World,PA3,465988
2006,Republic of Moldova,World,PA3,1196
2006,Romania,World,PA3,8458
2006,Russian Federation,World,PA3,123882
2006,Singapore,World,PA3,45897
2006,Slovakia,World,PA3,4830
2006,Slovenia,World,PA3,7073
2006,Spain,World,PA3,39822
2006,Sweden,World,PA3,104710
2006,Switzerland,World,PA3,104914
2006,Tajikistan,World,PA3,249
2006,Thailand,World,PA3,8026
2006,Ukraine,World,PA3,32438
2006,United States of America,World,PA3,1774742
2006,Uzbekistan,World,PA3,1371
2006,Zambia,World,PA3,2970
2006,Zimbabwe,World,PA3,222
2007,Algeria,World,PA3,852
2007,Australia,World,PA3,106756
2007,Austria,World,PA3,101820
2007,Barbados,World,PA3,62
2007,Belgium,World,PA3,96761
2007,Brazil,World,PA3,31692
2007,Bulgaria,World,PA3,4023
2007,Canada,World,PA3,122063
2007,Chile,World,PA3,7206
2007,China,World,PA3,271917
2007,"China, Macao SAR",World,PA3,181
2007,Colombia,World,PA3,5500
2007,Croatia,World,PA3,1326
2007,Cuba,World,PA3,146
2007,Cyprus,World,PA3,452
2007,Czech Republic,World,PA3,15997
2007,Denmark,World,PA3,55216
2007,Ecuador,World,PA3,33
2007,Egypt,World,PA3,300
2007,Estonia,World,PA3,2909
2007,Finland,World,PA3,44378
2007,France,World,PA3,390341
2007,Georgia,World,PA3,1733
2007,Germany,World,PA3,492604
2007,Greece,World,PA3,31896
2007,Guatemala,World,PA3,433
2007,Hungary,World,PA3,10306
2007,Iceland,World,PA3,655
2007,India,World,PA3,29688
2007,Ireland,World,PA3,70166
2007,Israel,World,PA3,21217
2007,Japan,World,PA3,1206335
2007,Kyrgyzstan,World,PA3,297
2007,Lithuania,World,PA3,3801
2007,Malta,World,PA3,2260
2007,Mexico,World,PA3,66865
2007,Monaco,World,PA3,45068
2007,Netherlands (Kingdom of the),World,PA3,138513
2007,New Zealand,World,PA3,34004
2007,Norway,World,PA3,17801
2007,Peru,World,PA3,2239
2007,Poland,World,PA3,17251
2007,Portugal,World,PA3,38895
2007,Republic of Korea,World,PA3,566965
2007,Republic of Moldova,World,PA3,1033
2007,Romania,World,PA3,9263
2007,Russian Federation,World,PA3,129910
2007,Serbia,World,PA3,1274
2007,Singapore,World,PA3,48650
2007,Slovakia,World,PA3,7122
2007,Spain,World,PA3,33428
2007,Sweden,World,PA3,105571
2007,Switzerland,World,PA3,107871
2007,Thailand,World,PA3,6742
2007,United States of America,World,PA3,1815531
2007,Uzbekistan,World,PA3,1568
2007,Zambia,World,PA3,3131
2007,Zimbabwe,World,PA3,252
2008,Armenia,World,PA3,350
2008,Australia,World,PA3,107699
2008,Austria,World,PA3,105129
2008,Barbados,World,PA3,60
2008,Belgium,World,PA3,97402
2008,Bosnia and Herzegovina,World,PA3,329
2008,Brazil,World,PA3,34879
2008,Bulgaria,World,PA3,4981
2008,Canada,World,PA3,129347
2008,Chile,World,PA3,7879
2008,China,World,PA3,337215
2008,"China, Macao SAR",World,PA3,296
2008,Croatia,World,PA3,1563
2008,Cuba,World,PA3,92
2008,Cyprus,World,PA3,454
2008,Czech Republic,World,PA3,19746
2008,Denmark,World,PA3,53997
2008,Estonia,World,PA3,3893
2008,Finland,World,PA3,47027
2008,France,World,PA3,439075
2008,Georgia,World,PA3,1020
2008,Germany,World,PA3,509879
2008,Greece,World,PA3,31975
2008,Guatemala,World,PA3,523
2008,Hungary,World,PA3,11462
2008,Iceland,World,PA3,1031
2008,India,World,PA3,30822
2008,Ireland,World,PA3,78816
2008,Israel,World,PA3,19833
2008,Japan,World,PA3,1270367
2008,Kazakhstan,World,PA3,171
2008,Kyrgyzstan,World,PA3,324
2008,Lithuania,World,PA3,4261
2008,Luxembourg,World,PA3,25152
2008,Madagascar,World,PA3,333
2008,Malta,World,PA3,1667
2008,Mexico,World,PA3,73076
2008,Monaco,World,PA3,50392
2008,Netherlands (Kingdom of the),World,PA3,142451
2008,New Zealand,World,PA3,34233
2008,Norway,World,PA3,17808
2008,Panama,World,PA3,41
2008,Papua New Guinea,World,PA3,1
2008,Peru,World,PA3,2370
2008,Poland,World,PA3,21352
2008,Portugal,World,PA3,39507
2008,Republic of Korea,World,PA3,624419
2008,Republic of Moldova,World,PA3,1049
2008,Romania,World,PA3,10264
2008,Russian Federation,World,PA3,147067
2008,Serbia,World,PA3,1277
2008,Singapore,World,PA3,49636
2008,Slovakia,World,PA3,8980
2008,Slovenia,World,PA3,1570
2008,Spain,World,PA3,169315
2008,Sri Lanka,World,PA3,2171
2008,Sweden,World,PA3,106009
2008,Switzerland,World,PA3,121928
